Discrete,Investors,Team,Community Rewards,Ecosystem Development,TOTAL,,Cumulative,Investors,Team,Community Rewards,Ecosystem Development,TOTAL,INCREMENTAL
Month 32,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 32,"805,995,555.56","698,198,495.56","1,400,000,000.00","788,363,516.67","3,692,557,567.78","81,715,152.02"
Month 33,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 33,"836,580,208.33","724,692,634.90","1,400,000,000.00","812,999,876.56","3,774,272,719.79","81,715,152.01"
Month 34,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 34,"867,164,861.11","751,186,774.24","1,400,000,000.00","837,636,236.46","3,855,987,871.81","81,715,152.02"
Month 35,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 35,"897,749,513.89","777,680,913.58","1,400,000,000.00","862,272,596.35","3,937,703,023.82","81,715,152.01"
Month 36,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 36,"928,334,166.67","804,175,052.92","1,400,000,000.00","886,908,956.25","4,019,418,175.83","81,715,152.01"
Month 37,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 37,"958,918,819.44","830,669,192.26","1,400,000,000.00","911,545,316.15","4,101,133,327.85","81,715,152.02"
Month 38,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 38,"989,503,472.22","857,163,331.60","1,400,000,000.00","936,181,676.04","4,182,848,479.86","81,715,152.01"
Month 39,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 39,"1,020,088,125.00","883,657,470.94","1,400,000,000.00","960,818,035.94","4,264,563,631.88","81,715,152.02"
Month 40,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 40,"1,050,672,777.78","910,151,610.28","1,400,000,000.00","985,454,395.83","4,346,278,783.89","81,715,152.01"
Month 41,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 41,"1,081,257,430.56","936,645,749.62","1,400,000,000.00","1,010,090,755.73","4,427,993,935.90","81,715,152.01"
Month 42,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 42,"1,111,842,083.33","963,139,888.96","1,400,000,000.00","1,034,727,115.63","4,509,709,087.92","81,715,152.02"
Month 43,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 43,"1,142,426,736.11","989,634,028.30","1,400,000,000.00","1,059,363,475.52","4,591,424,239.93","81,715,152.01"
Month 44,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 44,"1,173,011,388.89","1,016,128,167.64","1,400,000,000.00","1,083,999,835.42","4,673,139,391.94","81,715,152.01"
Month 45,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 45,"1,203,596,041.67","1,042,622,306.98","1,400,000,000.00","1,108,636,195.31","4,754,854,543.96","81,715,152.02"
Month 46,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 46,"1,234,180,694.44","1,069,116,446.32","1,400,000,000.00","1,133,272,555.21","4,836,569,695.97","81,715,152.01"
Month 47,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 47,"1,264,765,347.22","1,095,610,585.66","1,400,000,000.00","1,157,908,915.10","4,918,284,847.99","81,715,152.02"
Month 48,"30,584,652.78","26,494,139.34",0.00,"24,636,359.90","81,715,152.02",,Month 48,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00","81,715,152.01"
Month 49,0.00,0.00,0.00,0.00,0.00,,Month 49,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
Month 50,0.00,0.00,0.00,0.00,0.00,,Month 50,"1,295,350,000.00","1,122,104,725.00","1,400,000,000.00","1,182,545,275.00","5,000,000,000.00",0.00
