,,,,,,,,,,,,,
CONFIDENTIAL DRAFT - FOR DISCUSSION PURPOSES ONLY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Genesis I (BVI),0xf3342d2740622B001558AC632A4FE3383772EEEd,,,,,,,,,
,,,Genesis II (Fdn),0xC511541a041616F15E129C064E6bBCDb5cBA14d6,,,,,,,,,
,,,Grayscale,0xce1eF60a9A4829D4EF5542D34f9ea7b95ce0C833,,,,,TRUE,,,,
,,,Toku multisig (x2B),0x9e2d915F6c10bD33F8b5f2eE155c9F76c2486E9B,,,,,Unique 102,,,,
,Indiv 113,,,,,100.0000%,"5,000,000,000",5.00E+27,Indiv 113,,26,18,17
,Segment,Wallet ID,Delivery Status,TGE Destination,Final Destination,%,SXT, attoSXT,TGE Address,Etherscan Link,ethBalance,sxtBalance,
,Team,Denali,Delivered,Anchorage,Anchorage,0.0354%,"1,769,167",1.77E+24,0x59f972dd2D9bd00ab73A8A63c4e2d3635d019eE5,View on Etherscan,Loading...,Loading...,Loading...
,Team,Guadalupe Mountains,Delivered,Anchorage,Anchorage,0.0357%,"1,783,333",1.78E+24,0xD22a2F1b3d63597A051D1Cde40b32296d91A3cC2,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Connecticut,Delivered,Anchorage,Anchorage,0.0399%,"1,997,489",2.00E+24,0x5f932930AAB391ECF042B18942Fa08b97CFFEE66,View on Etherscan,Loading...,Loading...,Loading...
,Team,Artic Gates,Delivered,Anchorage,Anchorage,0.0439%,"2,194,168",2.19E+24,0x5B2e501b4eBB01009c8e0bD37573cC291e1c74f8,View on Etherscan,Loading...,Loading...,Loading...
,Team,Hawaii Volcanoes,Delivered,Anchorage,Anchorage,0.0464%,"2,320,833",2.32E+24,0x1295974B621bac3084508bcfbF807C7655E2F30b,View on Etherscan,Loading...,Loading...,Loading...
,Team,Badlands,Delivered,Anchorage,Anchorage,0.0525%,"2,623,333",2.62E+24,0x3471D1975894712f6020f26e16Eec5654B75Ccdb,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Iowa,Delivered,Anchorage,Anchorage,0.0530%,"2,650,000",2.65E+24,0x3f4B11289E59c6C7e35dB9272d65b4e992F58607,View on Etherscan,Loading...,Loading...,Loading...
,Team,New Jersey,Delivered,Anchorage,Anchorage,0.0552%,"2,760,835",2.76E+24,0x27992A1F53efB5178E4a41FC1FAa68d9BdF216E7,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Crater Lake,Delivered,Anchorage,Anchorage,0.0557%,"2,783,333",2.78E+24,0xce14cf2520DB299386BFDa4e15a3954A9DbC2809,View on Etherscan,Loading...,Loading...,Loading...
,Team,Virgin Islands,Delivered,Anchorage,Anchorage,0.0560%,"2,800,000",2.80E+24,0xA98fC27A53f760A5386EDfc37c7bdFc58Ce06B3D,View on Etherscan,Loading...,Loading...,Loading...
